,drive_id,creation_date,wear_percentage,Percentage_Increase,Weighted_MA,Diff_in_WeightedMA_and_%Inc,Steepness_Check
29,607,2016-10-27 16:12:52,40.0,-5.0,-24740.02,24735.02,1
28,607,2016-10-21 15:58:24,42.0,99.88,-12380.0,12479.88,1
10,607,2016-10-06 16:01:52,37.0,99.86,0.0,99.86,1
18,607,2016-10-11 08:58:15,35.0,14.29,-9.33,23.62,1
19,607,2016-10-11 15:59:20,35.0,0.0,-11.14,11.14,1
23,607,2016-10-13 03:09:21,31.0,0.0,-8.71,8.71,1
22,607,2016-10-12 15:46:27,31.0,0.0,-6.02,6.02,1
17,607,2016-10-11 03:05:17,30.0,0.0,-4.67,4.67,1
14,607,2016-10-08 03:03:44,37.0,0.0,0.0,0.0,0
26,607,2016-10-14 02:58:55,31.0,0.0,0.0,0.0,0
25,607,2016-10-13 16:08:22,31.0,0.0,0.0,0.0,0
1,607,2016-09-27 02:54:22,0.05,0.0,0.0,0.0,0
0,607,2016-09-26 20:03:00,0.05,0.0,0.0,0.0,0
15,607,2016-10-10 08:45:53,37.0,0.0,0.0,0.0,0
5,607,2016-09-28 08:56:16,0.05,0.0,0.0,0.0,0
2,607,2016-09-27 08:51:00,0.05,0.0,0.0,0.0,0
3,607,2016-09-27 15:51:44,0.05,0.0,0.0,0.0,0
9,607,2016-10-04 15:55:40,0.05,0.0,0.0,0.0,0
8,607,2016-10-04 09:04:27,0.05,0.0,0.0,0.0,0
7,607,2016-10-04 02:57:01,0.05,0.0,0.0,0.0,0
4,607,2016-09-28 02:57:52,0.05,0.0,0.0,0.0,0
6,607,2016-09-30 03:06:48,0.05,0.0,0.0,0.0,0
24,607,2016-10-13 09:06:36,31.0,0.0,1.94,-1.94,0
21,607,2016-10-12 09:03:49,31.0,3.23,5.24,-2.01,0
11,607,2016-10-07 02:58:01,37.0,0.0,19.97,-19.97,0
20,607,2016-10-12 03:02:58,30.0,-16.67,5.72,-22.39,0
16,607,2016-10-10 15:52:43,30.0,-23.33,0.0,-23.33,0
12,607,2016-10-07 08:58:33,37.0,0.0,39.94,-39.94,0
13,607,2016-10-07 16:04:58,37.0,0.0,59.92,-59.92,0
27,607,2016-10-15 03:08:10,0.05,-61900.0,0.0,-61900.0,0
